Id,source,latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,serotypes,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,humansGenderDesc,humansAge,humansAffected,humansDeaths
229252,OIE,23.71,120.25,Asia,Taiwan (Province Of China),Taiwan Sheng, Dongshi Township ,Exact,7/6/2017,7/11/2017,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, chicken",20500,365,365,17435,,,0,,
226997,National authorities,29.27,120.22,Asia,China,Zhejiang Sheng, Dongyang City Of Jinhua City,Unknown,,12/31/2016,Confirmed,Influenza - Avian,H7N9 LPAI,"environmental sample, unspecified bird",,31,,,,,,,
221119,OIE,44.45,84.99,Asia,China,Xinjiang Uygur Zizhiqu, Ili Kazak Autonomous Prefecture,Exact,12/17/2016,12/28/2016,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, unspecified bird",66619,16000,10716,55903,0,,0,,
219103,OIE,47.65,9.17,Europe,Switzerland,Thurgau, Kreuzlingen,Unknown,11/7/2016,11/16/2016,Confirmed,Influenza - Avian,H5N8 HPAI,"wild, unspecified bird",,1,1,0,0,,0,,
218538,OIE,9.25,76.50,Asia,India,Kerala, Ramankary ,Unknown,10/23/2016,10/26/2016,Confirmed,Influenza - Avian,H5N8 HPAI,"wild, unspecified bird",77848,15,15,6483,,,0,,
224050,OIE,41.97,2.72,Europe,Spain,Catalua켂/Catalunya, Sant Gregori,Exact,2/18/2017,2/23/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, duck",17800,723,723,17077,0,,0,,
218742,National authorities,53.67,13.67,Europe,Germany,Mecklenburg-Vorpommern, Schweriner Sees,Unknown,,11/11/2016,Confirmed,Influenza - Avian,H5N8 HPAI,"wild, heron",,,,,,,0,,
208823,FAO officer,-6.82,108.29,Asia,Indonesia,Jawa Barat, Sukahaji,Exact,9/9/2015,9/9/2015,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,,55,,,,,,
227791,OIE,56.57,47.92,Europe,Russian Federation,Mariy-El Rep., Suslonger ,Centroid Admin1,5/11/2017,5/17/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, unspecified bird",40,40,40,,,,0,,
229243,OIE,50.46,4.52,Europe,Belgium,Region Wallonne, Wangenies ,Unknown,6/29/2017,7/12/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, unspecified bird",78,12,12,66,,,0,,
229250,OIE,25.03,121.49,Asia,Taiwan (Province Of China),Taiwan Sheng, Wanhua District,Exact,7/1/2017,7/11/2017,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, chicken",42,,0,42,,,0,,
229248,OIE,22.74,120.54,Asia,Taiwan (Province Of China),Taiwan Sheng, Yanpu Township ,Exact,6/29/2017,7/11/2017,Confirmed,Influenza - Avian,"H5N8 HPAI, H5N2 HPAI","domestic, duck",2732,,0,2732,,,0,0,0
221893,National authorities,47.84,40.05,Europe,Russian Federation,Rostovskaya Oblast," Yevrodon 10, Krasnosulinsky ",Exact,12/27/2016,12/30/2016,Confirmed,Influenza - Avian,H5 HPAI,"domestic, turkey",161368,755,755,160613,,,0,,
208998,OIE,22.68,120.56,Asia,Taiwan (Province Of China),Taiwan Sheng,"	Changzhi Township",Exact,11/23/2015,12/8/2015,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, chicken",21000,10440,10440,10560,0,,,,
224420,OIE,43.80,28.59,Europe,Romania,Constanta,2 Mai,Exact,2/20/2017,2/28/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"wild, whooper swan",,3,3,0,0,,,,
227674,National authorities,55.50,49.59,Europe,Russian Federation,Tatarstan Rep.,"25 October Village, Laishevsky District",Unknown,5/3/2017,5/10/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, unspecified bird",447800,15000,5202,,,,0,,
209416,OIE,5.59,-0.19,Africa,Ghana,Greater Accra,37 Military Hospital Residence,Exact,11/30/2015,12/25/2015,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",40,7,7,33,0,,,,
209415,OIE,5.59,-0.19,Africa,Ghana,Greater Accra,37 Military Hospital Residence,Exact,11/30/2015,12/25/2015,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",40,7,7,33,0,,,,
209496,OIE,22.34,114.20,Asia,"Hong Kong, Sar",Administrative Unit Not Available,60 Fung Tak Road,Exact,12/31/2015,1/5/2016,Confirmed,Influenza - Avian,H5N6 HPAI,"wild, great egret",,1,1,0,0,,,,
220149,OIE,56.50,10.80,Europe,Denmark,Aarhus,Aarhus,Centroid Locality,11/17/2016,12/6/2016,Confirmed,Influenza - Avian,H5N8 HPAI,"wild,great black-backed gull (larus marinus))",,1,1,0,0,,0,,
209823,OIE,6.25,7.97,Africa,Nigeria,Ebonyi,Abakaliki,Exact,1/12/2016,1/19/2016,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",250,75,75,175,0,,,,
